o the Gentile~99~Intro 1:2
 we~2072~Intro 1:3
 gold~56~1 Nephi 2:4
 and we~206~1 Nephi 1:11
 And after~80~1 Nephi 1:15
 after~453~1 Nephi 1:15
 even~619~1 Nephi 1:5
 and were~69~1 Nephi 4:2
 were~1383~Intro 1:3
 our fathers~70~1 Nephi 3:19
 fathers~171~Intro 1:3
 up~1416~Intro 1:2
 the city~164~1 Nephi 4:5
 city~217~1 Nephi 1:4
 not~1708~Intro 1:2
 to the earth~50~1 Nephi 4:7
 the earth~292~1 Nephi 1:11
 earth~346~1 Nephi 1:11
 saw that the~52~1 Nephi 2:9
 that the~1632~Intro 1:2
 the commandments of the Lord~27~1 Nephi 2:10
 commandments of the Lord~28~1 Nephi 2:10
 for~2279~Intro 1:2
 my commandments~26~1 Nephi 2:20
 commandments~185~1 Nephi 2:10
 according to the law~29~1 Nephi 4:15
 to the law~31~1 Nephi 4:15
 the law~119~1 Nephi 4:15
 law~168~1 Nephi 4:15
 that I~402~1 Nephi 2:16
 and I~262~1 Nephi 1:3
 garments~30~1 Nephi 4:19
 I spake~21~1 Nephi 2:17
 spake~161~1 Nephi 1:16
 And I~204~1 Nephi 1:3
 whom~168~1 Nephi 1:20
 went forth~80~1 Nephi 1:5
 forth~532~Intro 1:2
 me and~27~1 Nephi 4:28
 wherefore~217~Intro 1:3
 from before~21~1 Nephi 4:28
 before~403~1 Nephi 1:6
 of Laban~21~1 Nephi 3:4
 Laban~40~1 Nephi 3:3
 hearken~84~1 Nephi 2:18
 if he~49~1 Nephi 4:32
 that he~503~1 Nephi 1:7
 into the wilderness~83~1 Nephi 2:2
 the wilderness~198~1 Nephi 2:2
 wilderness~212~1 Nephi 2:2
 oath~37~1 Nephi 4:33
 glad~27~1 Nephi 3:8
 are~845~Intro 1:2
 manner of~157~1 Nephi 3:16
 and bring~25~1 Nephi 3:4
 bring~211~1 Nephi 3:4
 to the land of~83~1 Nephi 3:9
 the land of~356~1 Nephi 2:4
 land of~372~1 Nephi 2:4
 And~4038~1 Nephi 1:3
 the plates of brass~23~1 Nephi 3:12
 plates of brass~27~1 Nephi 3:3
 of brass~31~1 Nephi 3:3
 brass~37~1 Nephi 3:3
 and also of~23~Intro 1:2
 also of~29~Intro 1:2
 the commencement~31~1 Nephi 1:4
 commencement~31~1 Nephi 1:4
 which~1652~Intro 1:3
 Jacob~96~1 Nephi 5:14
 Egypt~27~1 Nephi 1:2
 time~380~Intro 1:2
 kept~74~1 Nephi 5:16
 me~1368~Intro 1:3
 God and~25~1 Nephi 6:5
 things which are~40~1 Nephi 6:5
 which are~124~1 Nephi 2:5
 seed~127~1 Nephi 2:23
 go forth~81~1 Nephi 5:18
 that we did~33~1 Nephi 3:26
 we did~85~1 Nephi 3:22
 down into~37~1 Nephi 4:34
 into~604~1 Nephi 1:13
 Ishmael~39~1 Nephi 7:2
 they were~515~Intro 1:3
 speak unto~66~1 Nephi 2:14
 unto~2495~Intro 1:2
 that ye have~34~1 Nephi 7:8
 ye have~166~1 Nephi 7:8
 have~1198~1 Nephi 1:13
 faith in~36~1 Nephi 7:12
 hath spoken~23~1 Nephi 4:3
 spoken~228~1 Nephi 2:16
 insomuch that~171~1 Nephi 3:25
 the Spirit of~56~1 Nephi 1:12
 Spirit of~60~1 Nephi 1:12
 me in~24~1 Nephi 4:14
 that I may~44~1 Nephi 6:3
 I may~50~1 Nephi 6:3
 may~378~Intro 1:3
 and they~583~1 Nephi 1:20
 them of~42~1 Nephi 7:20
 on~747~1 Nephi 3:10
 and also~411~Intro 1:2
 also~902~Intro 1:2
 or~416~1 Nephi 1:4
 I saw~38~1 Nephi 4:9
 white~26~1 Nephi 8:5
 And it came to pass that he~86~1 Nephi 1:7
 it came to pass that he~89~1 Nephi 1:7
 came to pass that he~89~1 Nephi 1:7
 to pass that he~89~1 Nephi 1:7
 pass that he~89~1 Nephi 1:7
 unto the~1174~Intro 1:2
 tree~89~1 Nephi 8:10
 exceed~297~1 Nephi 1:6
 near the~27~1 Nephi 2:5
 as~941~1 Nephi 1:5
 did come~36~1 Nephi 7:22
 come~786~Intro 1:2
 the head of~27~1 Nephi 8:17
 head of~28~1 Nephi 8:17
 they would not~43~1 Nephi 8:18
 would not~116~1 Nephi 2:18
 commence~58~1 Nephi 1:4
 come forth~44~Intro 1:2
 cast~211~Intro 1:3
 as it~42~1 Nephi 8:26
 it~2407~Intro 1:2
 those who had~26~1 Nephi 8:27
 who had~124~1 Nephi 2:12
 had~1295~1 Nephi 1:1
 do~1177~Intro 1:3
 down~360~1 Nephi 1:11
 For~424~1 Nephi 1:4
 Lemuel~34~1 Nephi 2:5
 they should be~48~1 Nephi 8:36
 should be~244~1 Nephi 1:13
 cast them~26~1 Nephi 8:37
 the commandments of the~32~1 Nephi 2:10
 commandments of the~33~1 Nephi 2:10
 more~352~1 Nephi 5:2
 and these~21~1 Nephi 9:2
 these~633~1 Nephi 1:20
 be an~30~1 Nephi 9:3
 an~5159~Intro 1:2
 kings~29~1 Nephi 9:4
 wise~40~1 Nephi 9:5
 the fulfilling of~22~1 Nephi 9:6
 fulfilling of~22~1 Nephi 9:6
 of the things~33~1 Nephi 1:6
 the things~156~Intro 1:3
 things~738~Intro 1:3
 to all~27~1 Nephi 10:2
 all~1400~Intro 1:3
 whom he~31~1 Nephi 1:20
 would~483~1 Nephi 1:18
 before the~180~1 Nephi 3:26
 who~1264~Intro 1:2
 himself~137~Intro 1:3
 to the knowledge of~35~1 Nephi 10:14
 the knowledge of~53~1 Nephi 10:14
 knowledge of~76~1 Nephi 1:1
 dwelt~30~1 Nephi 1:4
 if it so~36~1 Nephi 2:24
 it so~37~1 Nephi 2:24
 so~1185~1 Nephi 1:1
 wherefore the~21~1 Nephi 4:29
 for all~23~1 Nephi 7:13
 and upon~22~1 Nephi 11:1
 upon~896~1 Nephi 1:6
 And the~669~1 Nephi 1:11
 I desire~27~1 Nephi 6:3
 desire~175~1 Nephi 2:16
 father~424~Intro 1:3
 bear~63~1 Nephi 10:10
 thereof~109~Intro 1:2
 he spake~67~1 Nephi 2:9
 And he said~55~1 Nephi 11:10
 he said~125~1 Nephi 3:13
 said~598~1 Nephi 2:1
 the Son~80~1 Nephi 10:17
 Son~105~1 Nephi 10:17
 of a~294~1 Nephi 1:8
 beheld the~32~1 Nephi 4:21
 saying~248~1 Nephi 1:13
 many~622~1 Nephi 1:1
 life~130~1 Nephi 1:17
 said unto me~69~1 Nephi 4:11
 unto me~307~1 Nephi 2:17
 I beheld~40~1 Nephi 4:7
 beheld~109~1 Nephi 1:9
 from~839~Intro 1:3
 the children~168~1 Nephi 3:7
 children~325~1 Nephi 1:16
 and the~1583~1 Nephi 1:1
 cross~27~1 Nephi 11:33
 were the~109~1 Nephi 11:34
 together to~21~1 Nephi 11:28
 that shall~25~1 Nephi 11:36
 shall~1295~1 Nephi 1:14
 number~134~1 Nephi 1:8
 wars and~23~1 Nephi 9:4
 cities~71~1 Nephi 11:13
 because of~498~1 Nephi 1:6
 heaven and~22~1 Nephi 11:27
 others~35~1 Nephi 1:10
 of the Lamb~31~1 Nephi 11:31
 the Lamb~55~1 Nephi 10:10
 Lamb~55~1 Nephi 10:10
 the Lamb of God~33~1 Nephi 10:10
 Lamb of God~33~1 Nephi 10:10
 of God~655~Intro 1:2
 God~1337~Intro 1:2
 the blood of~50~1 Nephi 4:10
 blood of~54~1 Nephi 4:10
 many of~109~1 Nephi 8:3
 And it came to pass that I~87~1 Nephi 2:16
 it came to pass that I~99~1 Nephi 2:16
 came to pass that I~99~1 Nephi 2:16
 to pass that I~102~1 Nephi 2:16
 pass that I~102~1 Nephi 2:16
 of my~269~1 Nephi 1:1
 this~1163~1 Nephi 1:15
 people~1424~Intro 1:2
 saw the~50~1 Nephi 1:8
 and all manner~38~1 Nephi 3:16
 all manner~101~1 Nephi 3:16
 manner~213~1 Nephi 1:15
 saints~27~1 Nephi 13:5
 the seed of~43~1 Nephi 12:1
 seed of~44~1 Nephi 12:1
 they went~41~1 Nephi 12:20
 went~189~1 Nephi 1:5
 all those~68~1 Nephi 1:20
 the power of God~45~1 Nephi 13:18
 power of God~53~Intro 1:2
 said unto~352~1 Nephi 2:1
 according to the~318~1 Nephi 2:13
 to the~981~Intro 1:2
 unto the Gentiles~32~1 Nephi 10:11
 the Gentiles~98~1 Nephi 10:11
 Gentiles~108~1 Nephi 10:11
 and also many~24~1 Nephi 5:13
 also many~25~1 Nephi 5:13
 yea~1071~1 Nephi 1:1
 by~951~Intro 1:1
 the remnant~35~Intro 1:3
 remnant~54~Intro 1:2
 saith~167~1 Nephi 13:33
 great joy~28~1 Nephi 8:12
 joy~123~1 Nephi 5:1
 and of~80~Intro 1:2
 must~196~1 Nephi 1:4
 one~360~1 Nephi 3:10
 captivity~48~1 Nephi 4:2
 which is the~27~1 Nephi 10:17
 is the~190~Intro 1:3
 over all the~21~1 Nephi 1:14
 all the~564~1 Nephi 1:1
 because of the~360~1 Nephi 1:6
 among~504~1 Nephi 1:18
 to his~127~1 Nephi 1:7
 his~1542~1 Nephi 1:5
 And it came to pass~1065~1 Nephi 1:6
 it came to pass~1297~1 Nephi 1:5
 came to pass~1299~1 Nephi 1:5
 to pass~1411~1 Nephi 1:5
 pass~1482~1 Nephi 1:5
 a man~122~1 Nephi 4:7
 man~1239~Intro 1:3
 Behold~403~1 Nephi 1:17
 of these things~34~1 Nephi 8:36
 these things~286~1 Nephi 1:20
 he shall~130~1 Nephi 3:7
 precious~52~1 Nephi 2:4
 which thou hast~26~1 Nephi 2:1
 thou hast~90~1 Nephi 2:1
 hast~115~1 Nephi 2:1
 but a~25~1 Nephi 14:28
 which I have~101~1 Nephi 1:17
 I have~319~1 Nephi 1:13
 all these things~59~1 Nephi 5:17
 concerning~311~1 Nephi 1:13
 therefore they did~21~1 Nephi 15:3
 they did~421~1 Nephi 2:11
 the destruction of~27~1 Nephi 1:18
 destruction of~32~1 Nephi 1:18
 And I said~23~1 Nephi 11:3
 I said~67~1 Nephi 3:15
 for the~703~Intro 1:3
 ye will~85~1 Nephi 7:15
 surely~39~1 Nephi 15:11
 and from~35~1 Nephi 12:18
 may know~35~Intro 1:3
 know~635~Intro 1:3
 that they were~99~1 Nephi 5:21
 in a~235~1 Nephi 1:1
 remember~158~1 Nephi 4:14
 things that~28~1 Nephi 11:1
 the angel~62~1 Nephi 3:30
 angel~133~1 Nephi 1:8
 up unto~55~Intro 1:2
 doth~105~1 Nephi 15:31
 place~186~1 Nephi 4:34
 because~668~1 Nephi 1:6
 hard~117~1 Nephi 2:18
 of the truth~23~1 Nephi 16:3
 the truth~54~1 Nephi 13:24
 truth~73~1 Nephi 13:24
 with all~53~1 Nephi 1:5
 them that~134~1 Nephi 3:7
 Zoram~42~1 Nephi 4:35
 on the morrow~38~1 Nephi 16:9
 the morrow~41~1 Nephi 16:9
 morrow~41~1 Nephi 16:9
 of every~38~1 Nephi 8:1
 every~209~1 Nephi 4:19
 us~380~1 Nephi 3:11
 again~850~1 Nephi 2:11
 loss of~21~1 Nephi 16:18
 unto my~97~1 Nephi 1:18
 many things~46~1 Nephi 1:13
 upon the~545~1 Nephi 1:11
 my brethren~144~1 Nephi 3:9
 brethren~499~1 Nephi 2:21
 diligence~33~1 Nephi 10:2
 small~50~1 Nephi 14:12
 according to~439~1 Nephi 1:3
 insomuch~174~1 Nephi 3:25
 that we~216~1 Nephi 3:19
 and was~21~1 Nephi 4:30
 ruler~26~1 Nephi 2:22
 for the space of many~26~1 Nephi 8:8
 the space of many~26~1 Nephi 8:8
 space of many~26~1 Nephi 8:8
 of many~52~1 Nephi 8:8
 which we~147~1 Nephi 3:12
 called~180~1 Nephi 2:8
 should go~36~1 Nephi 3:4
 go~751~1 Nephi 1:1
 smite~54~1 Nephi 3:28
 know that~178~1 Nephi 1:3
 and he also~27~1 Nephi 1:16
 he also~66~1 Nephi 1:10
 out~517~1 Nephi 1:9
 of our~159~1 Nephi 3:16
 language~40~Intro 1:3
 they had~283~1 Nephi 1:20
 Moses~63~1 Nephi 4:2
 for them~58~1 Nephi 2:18
 in the~1362~1 Nephi 1:1
 any~154~1 Nephi 4:10
 if they~72~1 Nephi 8:14
 it unto~29~1 Nephi 17:35
 a righteous~22~1 Nephi 17:22
 righteous~188~1 Nephi 2:9
 for it is~24~1 Nephi 6:1
 it is~170~Intro 1:2
 is~978~Intro 1:2
 he did~176~1 Nephi 1:6
 or the~64~1 Nephi 1:4
 a few~34~1 Nephi 17:43
 few~55~1 Nephi 14:12
 and if~63~1 Nephi 13:37
 if~513~Intro 1:3
 cannot~119~1 Nephi 6:3
 that they may~84~Intro 1:3
 they may~95~Intro 1:3
 in the land~199~1 Nephi 3:18
 the land~802~1 Nephi 2:4
 land~952~1 Nephi 2:4
 were driven~29~1 Nephi 17:33
 driven~71~1 Nephi 7:14
 that our~29~1 Nephi 15:30
 of his~345~1 Nephi 1:5
 which had been~70~1 Nephi 2:16
 had been~235~1 Nephi 2:16
 been~583~1 Nephi 1:1
 did not~163~1 Nephi 2:16
 the hearts~68~1 Nephi 11:22
 hearts~255~1 Nephi 2:18
 thing which~34~1 Nephi 3:5
 ship~22~1 Nephi 17:8
 And it came to pass that they did~47~1 Nephi 5:9
 it came to pass that they did~51~1 Nephi 5:9
 came to pass that they did~51~1 Nephi 5:9
 to pass that they did~51~1 Nephi 5:9
 pass that they did~51~1 Nephi 5:9
 that they did~111~1 Nephi 5:9
 both~98~1 Nephi 1:18
 prophet~171~1 Nephi 1:4
 in me~56~1 Nephi 19:6
 hundred~69~1 Nephi 10:4
 given unto~54~1 Nephi 11:7
 of the earth~132~1 Nephi 1:11
 of the prophet~32~1 Nephi 2:13
 the prophet~108~1 Nephi 1:20
 if it~88~1 Nephi 2:24
 he had~187~1 Nephi 1:7
 them for~31~1 Nephi 17:38
 us that~21~1 Nephi 4:35
 off~184~Intro 1:3
 yet~81~1 Nephi 4:4
 the Lord of Hosts~49~1 Nephi 20:2
 Lord of Hosts~50~1 Nephi 20:2
 of Hosts~54~1 Nephi 20:2
 Hosts~54~1 Nephi 20:2
 unto thee~68~1 Nephi 1:14
 I am~139~1 Nephi 5:4
 am~663~1 Nephi 1:18
 brought~228~1 Nephi 10:3
 not have~30~1 Nephi 5:4
 say~689~1 Nephi 1:13
 there is~80~1 Nephi 13:41
 servant~128~1 Nephi 3:25
 mountains~30~1 Nephi 12:4
 from the~456~Intro 1:3
 they that~30~1 Nephi 21:17
 Behold I~22~1 Nephi 3:2
 for they~195~1 Nephi 4:28
 be taken~24~1 Nephi 21:24
 taken~144~Intro 1:3
 shall come to pass~62~1 Nephi 14:1
 come to pass~89~1 Nephi 5:4
 come upon~92~1 Nephi 20:14
 upon all the face~28~1 Nephi 10:12
 all the face~36~1 Nephi 10:12
 the face~138~1 Nephi 1:11
 face~174~1 Nephi 1:11
 among all~62~1 Nephi 14:11
 this land~61~1 Nephi 17:33
 being~225~1 Nephi 1:7
 the dust~33~1 Nephi 18:18
 dust~34~1 Nephi 18:18
 will not~114~1 Nephi 3:15
 be saved~59~1 Nephi 6:4
 saved~77~1 Nephi 6:4
 harden~73~1 Nephi 12:17
 the Holy One of~39~1 Nephi 19:14
 Holy One of~39~1 Nephi 19:14
 One of~42~1 Nephi 19:14
 and this~99~1 Nephi 3:29
 dwell in~24~1 Nephi 3:18
 that all~62~1 Nephi 13:40
 the Holy One of Israel~38~1 Nephi 19:14
 Holy One of Israel~38~1 Nephi 19:14
 One of Israel~39~1 Nephi 19:14
 of Israel~175~Intro 1:2
 Israel~189~Intro 1:2
 durst~32~1 Nephi 2:14
 at~429~Intro 1:3
 them in~122~1 Nephi 2:14
 out of~310~1 Nephi 1:9
 they shall~250~1 Nephi 1:14
 but~497~1 Nephi 3:5
 and he~471~1 Nephi 1:6
 hath been~41~1 Nephi 3:18
 upon you~64~2 Nephi 1:17
 you~1053~1 Nephi 1:20
 according~458~1 Nephi 1:3
 in all things~21~1 Nephi 15:25
 all things~130~1 Nephi 7:12
 which he~200~1 Nephi 1:6
 mouth~72~1 Nephi 2:8
 thou art~44~1 Nephi 1:14
 art~79~1 Nephi 1:14
 much~200~1 Nephi 1:6
 the fulness of~23~1 Nephi 6:4
 fulness of~25~1 Nephi 6:4
 Messiah~26~1 Nephi 1:19
 the resurrection of~30~2 Nephi 2:8
 resurrection of~31~2 Nephi 2:8
 which is~199~Intro 1:3
 nor~164~1 Nephi 17:52
 the power~147~1 Nephi 1:20
 power~379~Intro 1:2
 devil~98~1 Nephi 11:31
 ye~1966~Intro 1:3
 misery~23~2 Nephi 1:13
 might be~54~1 Nephi 3:21
 last day~61~1 Nephi 13:37
 day~495~1 Nephi 1:1
 eternal life~25~2 Nephi 2:27
 save it~130~1 Nephi 2:4
 in the days of~30~1 Nephi 10:21
 the days of~47~1 Nephi 10:21
 days of~50~1 Nephi 10:21
 keep~160~1 Nephi 2:10
 forever~97~Intro 1:3
 covenants~30~Intro 1:3
 shall be a~77~1 Nephi 2:24
 be a~251~1 Nephi 2:24
 to the knowledge of the~30~1 Nephi 10:14
 the knowledge of the~42~1 Nephi 10:14
 knowledge of the~54~1 Nephi 1:1
 unto you~493~1 Nephi 1:20
 deliver~200~1 Nephi 1:20
 my word~75~1 Nephi 2:17
 word~784~1 Nephi 2:3
 also to~29~Intro 1:2
 by the power of~59~1 Nephi 10:17
 the power of~123~1 Nephi 1:20
 power of~139~Intro 1:2
 hath said~21~1 Nephi 15:11
 unto them~481~1 Nephi 1:18
 shall go~27~1 Nephi 3:29
 the house of~108~Intro 1:2
 house of~140~Intro 1:2
 which I have spoken~30~1 Nephi 10:16
 I have spoken~56~1 Nephi 9:2
 have spoken~66~1 Nephi 9:2
 I would~124~1 Nephi 1:18
 will be~76~1 Nephi 8:3
 sons and~30~2 Nephi 4:3
 the sons~47~1 Nephi 7:19
 sons~141~1 Nephi 5:2
 were angry with~21~1 Nephi 1:20
 angry with~48~1 Nephi 1:20
 sins~152~1 Nephi 10:10
 preserved~33~1 Nephi 5:14
 with his~72~1 Nephi 2:5
 high~79~1 Nephi 1:1
 therefore I~33~1 Nephi 1:1
 away~341~1 Nephi 1:8
 my soul~58~1 Nephi 8:12
 soul~224~1 Nephi 1:15
 Do~30~1 Nephi 15:11
 who are~88~Intro 1:2
 say that~38~1 Nephi 6:2
 for the space~66~1 Nephi 8:8
 the space~75~1 Nephi 8:8
 space~81~1 Nephi 8:8
 the name of the~29~1 Nephi 2:8
 name of the~29~1 Nephi 2:8
 take upon~23~2 Nephi 5:9
 raise~70~1 Nephi 7:1
 by the hand of~44~Intro 1:2
 the hand of~52~Intro 1:2
 hand of~61~Intro 1:2
 began to~313~1 Nephi 1:18
 people to~42~2 Nephi 5:15
 until the~98~1 Nephi 2:14
 did cause~44~1 Nephi 17:45
 cause~338~1 Nephi 4:5
 and did~168~1 Nephi 2:16
 priests~76~2 Nephi 5:26
 years had~28~2 Nephi 5:28
 we had~52~1 Nephi 3:10
 of Nephi~244~Intro 1:2
 Nephi~2771~Intro 1:2
 all things which~22~1 Nephi 7:13
 things which~200~1 Nephi 1:6
 that ye may~67~Intro 1:3
 ye may~89~Intro 1:3
 according to the words~35~1 Nephi 2:13
 to the words~41~1 Nephi 2:13
 the words~270~1 Nephi 2:13
 words~544~1 Nephi 2:13
 the day~133~1 Nephi 10:21
 gathered~95~1 Nephi 3:23
 and for~58~1 Nephi 10:18
 him and~30~1 Nephi 15:14
 know that the~56~1 Nephi 1:3
 the heavens~35~1 Nephi 1:8
 heavens~37~1 Nephi 1:8
 He~132~1 Nephi 17:39
 and I will~72~1 Nephi 3:13
 I will~252~1 Nephi 2:23
 as a~95~1 Nephi 11:11
 his servant~35~1 Nephi 3:25
 judgment~149~Intro 1:3
 not he~47~1 Nephi 2:18
 of the sea~37~1 Nephi 12:1
 the sea~98~1 Nephi 12:1
 sea~179~Intro 1:2
 the son of~60~1 Nephi 5:14
 son of~62~1 Nephi 5:14
 to destroy~76~1 Nephi 4:3
 destroy~266~Intro 1:2
 by the hand~55~Intro 1:2
 the hand~137~Intro 1:2
 no more~105~1 Nephi 5:2
 bands~27~1 Nephi 7:17
 and shall~70~1 Nephi 2:20
 die~87~1 Nephi 15:33
 all men~56~1 Nephi 10:18
 men~472~Intro 1:3
 murder~110~1 Nephi 17:44
 save~279~1 Nephi 2:4
 they be~176~1 Nephi 2:13
 forth out of~26~1 Nephi 13:13
 from the foundation of the~22~1 Nephi 10:18
 the foundation of the~25~1 Nephi 10:18
 foundation of the~25~1 Nephi 10:18
 women and~25~Mosiah 10:9
 stand~128~1 Nephi 10:8
 the Lord God~103~1 Nephi 10:4
 Lord God~109~1 Nephi 1:14
 the days~51~1 Nephi 10:21
 days~187~1 Nephi 1:1
 is good~26~2 Nephi 2:5
 good~207~1 Nephi 1:1
 whoredoms~27~2 Nephi 9:36
 death~177~1 Nephi 15:31
 not for~29~1 Nephi 21:15
 cannot be~35~1 Nephi 6:3
 the depths~28~1 Nephi 8:32
 depths~28~1 Nephi 8:32
 expedient~57~1 Nephi 10:15
 can be~23~1 Nephi 17:46
 unto his~78~1 Nephi 1:16
 become~140~1 Nephi 17:12
 declare~93~1 Nephi 1:18
 other~187~1 Nephi 1:10
 they would~112~1 Nephi 7:21
 shall not~107~1 Nephi 1:16
 And he~264~1 Nephi 1:10
 works~109~1 Nephi 1:14
 are not~79~Intro 1:3
 dwell~67~1 Nephi 3:18
 who have~62~1 Nephi 13:30
 the way of~22~1 Nephi 10:7
 way of~34~Intro 1:2
 through~160~1 Nephi 4:2
 God that~36~1 Nephi 3:19
 people that~42~1 Nephi 1:4
 their own~63~1 Nephi 21:26
 own~199~1 Nephi 1:3
 the great~114~1 Nephi 1:4
 great~647~Intro 1:3
 who is~48~1 Nephi 12:18
 lifted~59~1 Nephi 11:33
 the nations~30~1 Nephi 13:3
 nations~74~Intro 1:3
 upon all the~41~1 Nephi 10:12
 to be~413~1 Nephi 3:14
 against the~276~1 Nephi 2:11
 unto their~40~1 Nephi 14:3
 as they~56~1 Nephi 3:29
 Zion~41~1 Nephi 13:37
 be called~23~2 Nephi 3:15
 every one~32~1 Nephi 18:6
 the spirit~58~Intro 1:2
 spirit~117~Intro 1:2
 upon all~56~1 Nephi 10:12
 beloved~87~2 Nephi 6:2
 judge~266~1 Nephi 11:32
 it should~23~1 Nephi 1:13
 down the~28~2 Nephi 15:5
 that they may be~27~2 Nephi 15:8
 they may be~33~2 Nephi 6:5
 drink~31~2 Nephi 8:22
 in their~141~1 Nephi 14:26
 wine~33~1 Nephi 4:7
 and take~28~2 Nephi 2:8
 take~364~Intro 1:3
 turned~31~1 Nephi 22:14
 him that~89~1 Nephi 1:11
 eyes~84~1 Nephi 8:13
 which he had~47~1 Nephi 1:7
 thine~38~1 Nephi 1:13
 houses~21~2 Nephi 13:14
 war~180~1 Nephi 9:4
 that thou~74~1 Nephi 2:9
 day that~31~1 Nephi 2:23
 thousand~78~1 Nephi 4:1
 with a~214~1 Nephi 1:5
 over all~27~1 Nephi 1:14
 and it~142~1 Nephi 2:8
 should not~65~1 Nephi 4:31
 the house~116~Intro 1:2
 house~214~Intro 1:2
 their God~94~1 Nephi 1:8
 curse~57~1 Nephi 2:23
 Red~51~1 Nephi 2:5
 his word~93~1 Nephi 8:37
 cut~70~1 Nephi 2:21
 head~97~1 Nephi 4:18
 and they shall~63~1 Nephi 2:23
 eat~36~2 Nephi 7:9
 be their~31~1 Nephi 17:40
 is to~25~Intro 1:3
 the king of~42~2 Nephi 10:14
 king of~46~1 Nephi 1:4
 and I have~29~1 Nephi 14:28
 lift~89~1 Nephi 11:33
 shall he~33~1 Nephi 14:1
 the spirit of~37~Intro 1:2
 spirit of~38~Intro 1:2
 shall the~82~1 Nephi 13:37
 seven~46~2 Nephi 14:1
 shall ye~48~1 Nephi 11:7
 among the~333~1 Nephi 1:18
 the Holy~140~1 Nephi 10:11
 Holy~152~1 Nephi 2:17
 weapons~50~2 Nephi 23:5
 hands~188~1 Nephi 1:17
 silver~48~1 Nephi 2:4
 the fruit of~32~1 Nephi 8:24
 fruit of~36~1 Nephi 8:1
 there~1167~Intro 1:2
 merciful~44~1 Nephi 1:14
 them and~57~1 Nephi 5:21
 How~24~1 Nephi 3:31
 rest~102~1 Nephi 15:19
 laid~51~1 Nephi 20:13
 weak~34~1 Nephi 19:6
 glory~65~1 Nephi 11:28
 the land nor~34~Omni 1:22
 land nor~34~Omni 1:22
 this is the~43~2 Nephi 24:26
 root~30~2 Nephi 15:24
 know not~29~1 Nephi 9:5
 works of~31~2 Nephi 1:10
 all nations~27~Intro 1:3
 Isaiah~22~1 Nephi 15:20
 save it were~73~1 Nephi 2:4
 it were~138~1 Nephi 2:4
